journal_id,journal_name,subject_area,access_type,launch_year,editor_name
J01,Journal of Social Psychology Research,PSYCHOLOGY,Sub,1987,Dr. M. Fernandez
J02,International Review of Educational Studies,Education,Subscription,1993,Dr. J. Park
J03,Journal of Behavioral Economics,MANAGEMENT,open access,1984,
J04,Methods in Social Research,Methodology,OA,1976,Dr. J. Park
J05,Journal of Political Communication,Political Science,subscription,2007,Prof. T. Adeyemi
J06,Review of Organizational Behavior,Management,Sub,1995,Dr. R. Osei
J07,Journal of Health Psychology Studies,Psychology,OA,2009,Dr. J. Park
J08,Cross-Cultural Management Review,Management,open access,1987,Dr. R. Osei
J09,Journal of Educational Technology,Education,open access,2010,Dr. J. Park
J10,Sociological Perspectives Quarterly,Sociology,Subscription,1988,Dr. S. Novak
J11,Journal of Applied Political Science,Political Science,Open Access,2011,Dr. J. Park
J12,Advances in Quantitative Methods,Methodology,Subscription,1992,Dr. J. Park
J13,Journal of Clinical Psychology Practice,Psychology,Sub,2008,Dr. A. Whitfield
J14,Global Education Policy Review,education,subscription,1989,
J15,Journal of Consumer Behavior Studies,management,Open access,1983,Prof. T. Adeyemi
J16,Comparative Sociology Review,Sociology,Open Access,1978,Dr. J. Park
J05,Journal of Political Communication,Political Science,subscription,2007,Prof. T. Adeyemi
