assignment_id,submission_id,reviewer_id,assigned_date,review_completed_date,status
A000001,S00001,R039,2023-11-22,24/12/2023,complete
A000002,S00001,R050,2023-11-22,2023-11-29,complete
A000003,S00002,R039,2024-07-30,2024-08-17,Completed
A000004,S00002,R005,2024-08-01,2024-08-25,Completed
A000005,S00002,R043,2024-07-31,2024-09-28,Completed
A000006,S00003,R044,2024-03-21,2024-04-12,complete
A000007,S00003,R010,2024-03-14,2024-04-03,complete
A000008,S00003,R011,2024-03-15,2024-04-09,complete
A000009,S00004,R023,2023-12-18,2024-01-12,complete
A000010,S00004,R006,12/12/2023,2024-01-01,complete
A000011,S00005,R005,2023-07-15,2023-09-02,Done
A000012,S00005,R039,2023-07-18,2023-08-19,complete
A000013,S00006,R045,21/09/2024,2024-10-01,Done
A000014,S00006,R006,2024-09-25,2024-10-27,Completed
A000015,S00007,R045,2023-07-17,2023-07-26,Done
A000016,S00007,R043,2023-07-10,2023-08-23,Completed
A000017,S00008,R006,2024-03-01,2024-03-22,Done
A000018,S00008,R039,2024-03-03,21/03/2024,complete
A000019,S00009,R010,2024-05-20,2024-07-04,Completed
A000020,S00009,R005,2024-05-14,2024-07-13,Done
A000021,S00010,R005,2023-08-10,2023-10-21,Done
A000022,S00010,R006,2023-08-11,2023-08-22,complete
A000023,S00011,R010,2023-11-23,2023-12-05,Done
A000024,S00011,R005,17/11/2023,23/11/2023,Done
A000025,S00012,R023,2024-06-15,2024-07-16,Completed
A000026,S00012,R050,2024-06-18,2024-06-30,Completed
A000027,S00013,R045,2023-09-10,2023-09-15,Done
A000028,S00013,R039,2023-09-09,2023-09-27,Done
A000029,S00013,R050,2023-09-05,2023-09-17,Completed
A000030,S00014,R045,24/03/2024,2024-04-15,Done
A000031,S00014,R006,2024-03-20,2024-03-30,complete
A000032,S00015,R044,14/03/2024,07/04/2024,complete
A000033,S00015,R039,2024-03-14,2024-04-21,Completed
A000034,S00015,R023,2024-03-18,2024-04-06,Done
A000035,S00016,R023,2023-03-20,05/04/2023,Completed
A000036,S00016,R010,18/03/2023,2023-04-21,Done
A000037,S00017,R006,15/02/2024,2024-03-17,Done
A000038,S00017,R023,2024-02-12,2024-03-31,Done
A000039,S00017,R010,2024-02-10,2024-03-19,complete
A000040,S00018,R045,2024-01-07,2024-02-16,Done
A000041,S00018,R050,2024-01-14,25/01/2024,complete
A000042,S00018,R006,2024-01-11,2024-02-02,Done
A000043,S00019,R044,2023-04-17,2023-05-15,Done
A000044,S00019,R005,2023-04-17,12/05/2023,Done
A000045,S00020,R050,2023-10-20,2023-11-19,Done
A000046,S00020,R045,2023-10-23,2023-10-31,Completed
A000047,S00021,R011,2023-04-02,2023-05-07,complete
A000048,S00021,R050,2023-04-01,2023-05-08,Completed
A000049,S00021,R044,2023-04-06,2023-05-07,complete
A000050,S00022,R039,2024-02-02,2024-02-23,Completed
A000051,S00022,R044,2024-02-05,2024-03-08,complete
A000052,S00022,R005,2024-02-07,2024-02-25,complete
A000053,S00023,R006,2024-07-31,03/09/2024,Completed
A000054,S00023,R005,2024-07-28,2024-08-20,Completed
